"Y","mol","Structure (Fingerprint)"
0.011638533,"Cc1nc(-c2cn3c(n2)-c2ccc(N4CCCC45CCCN(C)C5)cc2OCC3)n(C(C)C)n1","0000100000000000001000000000000000000000000100000000000000000000000000000100000000000000100100000100000000000000000000000000000000000000000000100000100000000000000000000000001010000000000001001000001000000000000000000001011000000000000000000000000000000000000000000000000000000010000000000000000101000000000000000000000000000100000000000000000100000000000100000000000100000000000000000000000000000000000000000000000000000100000000000000000000100000000000000000000000000000000000000000000000000000000000000000000000000010000000000000000000000000000000100000000100000001000000000000001000000000000010000000001000010000011000000000001000000000010001000000100000000000000100010000000001000100000000000000000000000000000000000000000000000000000010000000000000000000000010000000000000000000000000101000100000000100000000001000010000000000000000000000000000000000000000000010000000000000000001000000000000000010000000000000000001000000000000000000000000000000000000000000000000000000000010000001001001000000000000000000000000010010"
0.012,"Cc1nc(N)nc2c1cc(-c1cn[nH]c1)c(=O)n2C1CCC(=O)CC1","0100100000100000000000000000000000000000000000010000000000000000000000000000000000000000100100000100000000001000000000000000000000100000010000000000100000000000000000001000001000000000000000001000000000000000000000010000000000000000000000000000000000000000000000000000000000000000000000000000000000001000000001000000000000000100100000000000000000000001100000000000000000000100000000010000000000000000000000000000001000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000010000001000000000000000000000000000000000000000000000000000000000000000000000010000000000000000000000010000000000000000010000000000001000000000000000000000100010000000000000000001000000100000000000100000000000010000000000010000000000000000000000000000000000000000000010000000000000000001000000001000000100100000000000000000000000000000000000000000000000000000000101000000010010000000000000000000000000000000000000000000101000000000000000000000000000000000000000000000000010000001000000000000000000000000000000000"
0.012,"Cc1nc(N)nc2c1cc(-c1ccc(N(C)C)nc1)c(=O)n2[C@H]1CC[C@@H](O)CC1","0100100000100000000000000000000000000000000000010000000000000000000000000000000000000000100000000100000000000000000000000000000101100000010000100000100000000000000000000000001000000000000000001000000000000000000000001100010000000000000000000000000000000000000000000000000000000000000000000000000001010000001000000000000000000100000000000000000000010001000000000000000000000100000000000000000000000000000000000000000000000000000000000100000000000000000000000000000000000000000000000000000000000000000000000000000010000001000000000000000000000000000000000000000010000000000000000000000000000010000100000000000000000010000000000000000000000000000001000000000000000000000100010000000000000100001000000000000000000100000000000010000000000010000000000000000000000000000000000000000000010000000000100000000000000001000000100100000000000000000000000000000000000000000000000000000000101000000011010000000000000000000000000000000000100000000100000000000000000000000000000000000000000000000000010000001000000000000000000000000000000000"
0.012,"Cc1nc(N)nc2c1cc(-c1cnn(CC(F)F)c1)c(=O)n2C1CCCC1","0100100000100000000000000000000000000010000000010000001000000000000000000000000000010000100000000100000000000000000000010000010000100100010000000000101000000000000000000000001000000000000000001000000000000000000000000000000000000000000000000000000000000000000000000000000000001000000000000000000000000000000000000000000000001100000000000000000000000001000000000000000000000100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000010000001000000000000000000000000000000000000000100000000000000000000000000000010000000000000000000000010000000000000000000000000000001000000000000000000000100010000000000000000001000000000000000000100000000000010000000000010000000000000001000000000000000000000000000010000000000000000000000000001000000100100000000100000000000000000000000000000000000000000000000101000000010010000000000000000000000000000000000000010000100000000000100000000000000000000001000000000000010010000001000000100000000000000000000010010"
0.012,"COc1ccc(-c2cc3c(C)nc(NCC(F)F)nc3n([C@H]3CC[C@H](O)CC3)c2=O)cn1","0100100000100000000000000010000000000010100000010000000000000000000000000000000000000010100000000100000000000000010000010000000101000000010000000000100000000000000000000000001000000010000000001000000000000000000000001100010000000000000000000000000000000000000000000000000000000000000000000000000001000000000000000100000000000100100000000000000000000001000000000000000000000100000000000000000000000000000000000000000001000000000000000100000000000000000000000000000001000000000001000000000000000000000000000000000110000001000000000100000000000000000000000000000010000000000000000000000000000000000100000000000000000000000000000000000100000000000001000000000000000000000100010000000000000100001000000000000000000100100000000010000000000000000000000010000000000000000000000000000000010000000000100000000000000000000000100100000000000000000000000000000000000000000000000000000000100000000010010000000100000000000000000000000000000000000100001000000100000000000000000000000000000000000000010000001000000100000000000000000000000010"
0.012,"CNc1nc2ccc(-c3cnc(Cl)c(NS(=O)(=O)c4ccc(C(C)=O)cc4)c3)cc2s1","0000001000000000000000000000000000000000000000000000000000000010000000000000000000000000000000000000000000000000000000100000000100100000001010000000110000000000000000000000001000000000000000001000000000000000000000001000000000010010000000100000000000000000010000000000000000000000000000000000000001000000000110000000000000000000000000000000000000001010000000000000100000000100001000000000000000000000000000100000000000000000000000000000000010000000000000000000001000100000000000000000000000000000000000000000000010000000010000000000000000000000001001000000000010000000000100000000000000000000000100000000000000000000010000000000000000000010000001000000000000000010000100000100000000001000000000000000000010000000000000000000000000000100000000000000000000000000000000000000000001000000000000000000000000000000000000000000000100000000000000000000000000000000000001000001000000000000000000010000000100000000000000000000000000000000000000000000000000000010000000000000000000000000100000000000001000000000010000000000000000010000"
0.012,"CC(=O)Nc1nc2cc(-c3cnc(Cl)c(NS(=O)(=O)c4ccc(F)cc4)c3)ccc2[nH]1","0000001000001000000000000000000000000000000000000100000000000000000000000000000000000000000000000000000000001000000000110000000100100000000010000000110000000000000000000000001000000000000000001000000000000000000000001000000000000001010000100000000000000000010000000000000000000000000000000000000001000010000010000000000000001000000000000000000000000000000000000000100000000100010000000000000000000000000000000000000000000000000000000000000010000000000000000000001000000000000000000000000010000000000000000000000010000000010000000000000000000000001000000000000010000000010100000000000000000000000100000000000000000000000000000000000000000100000001000000000000000000000100000100000000001000000000000000000010000000000000000000000010000000000000000000000000000000000100000000000001100000000000000000000000000000000000000000000100000000000000000000000000000100000000000000000000000000000000010000000100000000100000000000000000000000000001000000000000000010000000000000000000000000000000000000001000000000010000000000000000010000"
0.012,"CCOC(=O)c1cn2cc(-c3cnc(N)nc3)nc(N3CCOCC3)c2n1","0000000001010000010000000000000000000000000100000000000000000000000010000100000000000000100000000100000000000000000000000000000000100000000000000000000000000000000000001000001100000000000000001000000000000000000000001000000000000000000000000000000000000000000100001000000000000000000000000000010000000000000000000000000000100100100000000000000000000001000000000000000100000100000000000000000000000000000000000000000000000000000000000000000000000000000010000000000000000000000000000000000000000000000010000000000010000000000000000000000000000000000000000000000110000001000000010000000000000010000100000001001000000010100000000000000000000000001001000000000000000001000100000000000000000000000000100000000000000000000000000000000001000000000000001000000000000000000000000000000000000000000000000000000000000000010000000000000000000000000000000000000000000000000000000000000000001010000000010000010000000000000000000000000010000000000000000001000100000000000000000000000000000000000000000000001000000000000000000000000000000000"
0.012,"O=S(=O)(Nc1cncc(-c2cnc3[nH]cc(-c4cccnc4)c3c2)c1)c1ccccc1","0000000000000000000000010000000000000000000000000000000000000000000000000000100000000000000000000000000000000000000000000000000000000000000010000000100000000000000000011000001000000100000000000000000000000000000000001100000000000000000000000000000000000000000000000000000000000000100000010000000001000000000001000000000000000000000000000000000000000000000000000000000000000100000000000000000000000000000000000000000000000000000000000001000000001000100000000000010000000000000000000000000000000000000000000000000010000000110000000000000000000000001000000000000010000000000100000000000010100000000100000000000000000000000000000000000000100000000001000000000000000000000100010100000000000000001000000000000010000000000000000000000000000000000000000000000000000000000000100000000001000000000000000000000000000000000000000000000000000000100000000000000010000000000000000000000000000000010000010000000100000000000000000000000000000000000001001000000000000000000000010000000000000000000000010000000000000000000010000000000000010000"
0.012,"COC[C@@H]1CCN(C(=O)Nc2nc(C)c(-c3ccnc(C(C)(C)C(F)(F)F)c3)s2)[C@@H]1C(N)=O","0000100000000001001000001000000000000000000000000000000000000000000000000000000000000000100000001100000000000000000100010000000000100000000000000000100000000000000000000100001000000110000100001000000000000000000000001000000000000001000010000000000100000000000000000000000000000000000000001000000001000000000100000000000000000100100000000000000000001000000000000000000000000100000000000000000000000000000100000000000000000011000000000000000000000000001000000000000000000001000000000000000000000000000000010000000000000000000000000000000000000000000000000000000000000001000000000000000000000000001100000000000000000000000000000000000100000010000001000000000000000000000100000000000000000000000000000000000011100000000000000110000100000000000000000000000000000000001010000000000000000100000000000000010000000100000000000000000000000000000000000000000000000000000001000000000000001000000100010000000100000000000001010000000000000000000100000000000100000000000000000000100000000000000000000100001100000000000000000000000000000000"
0.012,"CC(=O)NC[C@@H]1CCN(C(=O)Nc2nc3c(s2)-c2nc(C(C)(C)C)ncc2CC3)[C@@H]1C(N)=O","0000101000000001000000000000010000000000000000000000000000000000000000000000000000000000100000001101000000000000000000000000000000100000000000000001000000000000000000000100001000000000000000001000000000000000000000001000000000010001000000000000000100000000000000000000000000000000000000001000100000000000000001000000000000000000000000000000000000001000000000000000000000000100000000100000000000000000000100000000000000000001000000000000010000010000001000000000000000000000000000000000000000000000000000000000000010000000100010000000000000000000000000000000000000100001000000000000000000000000000100000000000000000000000000000000000100000011000001000000000100000000000100000000001000000000000000000000100000101000000000000110000000000000000000000000000000000000000010000000000000100100000000000000010000010100000100000000000000100000000000000000000000000000000001000000000000001000000100000000000100000000110001000000000000000000000000000000000100000000000000000000000000000000000000000100001000000000000000000000000000000000"
0.0121,"CC(=O)Nc1nc2ccc(-c3cncc(NS(=O)(=O)c4ccc(C(C)O)cc4)c3)cc2s1","0000001000000000000000010000000000000000000000000000000000000010000000000000000000000000000000000000000000000000000000000000000100100000001010000000100000000000000000000000001000000000000000001010000000000000000000101000000000000001000000100000000000010000000000000000000000000000100000000000000001000000000110000000010000000000000000000000000000001000000000000000000000000100001000000000000000000000000000000000000000000000000000000001000000001000000000000000000000100000000000000000000000000000000000000000000010000000010000000000000000000000001000000000000000000000000100000000000000000000000000000000000000000000000000000000000000000010000001000000000000000000000100000100000000100000000000000000000010100000000000000000000000000100000010000000000000000000000000100000000001100000000000000001100000000000000000000000000000000000100000000000000000000000000001000001000000000000010000010000000100000000000000000000000000000000000000000000000000000010000000000000000000000000000000010000001000000000000000000000000000010010"
0.0123,"CC(=O)Nc1nc2ccc(-c3cnc(Cl)c(NS(=O)(=O)c4ccc(C(C)=O)cc4)c3)cc2s1","0000001000000000000000000000000000000000000000000000000000000010000000000000000000000000000000000000000000000000000000100000000100100000001010000000110000000000000000000000001000000000000000001000000000000000000000001000000000010001000000100000000000000000010000000000000000000000000000000000000001000000000110000000000000000000000000000000000000001010000000000000100000000100001000000000000000000000000000100000000000000000000000000000000010000000000000000000001000100000000000000000000000000000000000000000000010000000010000000000000000000000001000000000000010000000000100000000000000000000000100000000000000000000000000000000000000000010000001000000000000000010000100000100000000001000000000000000000010100000000000000000000000000100000000000000000000000000000000000000000001100000000000000001000000000000000000000000000100000000000000000000000000000000000001000001000000000000000000010000000100000000000000000000000000000000000000000000000000000010000000000000000000000000100000000000001000000000010000000000000000010000"
0.0125,"C[C@H]1CCN(C(=O)Nc2nc3c(s2)-c2nc(C(C)(C)C)sc2CC3)[C@@H]1C(N)=O","0000100000000000000000000000000000000000000000000000000000000000000000000000000000000000100000001101000000000000000000010000000000100000000000000000000010000000000000000000000000000000000010001000000000000000000000011000000000000001000000000000000100000000000000000000000000000000000000001000000000000000000001000000000000000000000000000000000000001000000000000000000000000100000000000000000000000000000100000000000000000001000000000100000000000001001000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001000000000100001010000000000000000000000000000000000000001000000000000000010000100100011000001000000000000000000000100000000001000000000000000000000100000101000000000000110000000000000001000000000000000000000000010000000000000000100000000000000000000000100000000000000000000000000000000000000000000000000000001000000000000001000000100000000000100000000000001000000000000000000000010000000000000000000000000000000000000000000000001000100001000000000000000000000000000000000"
0.0127,"CC(=O)Nc1nc2ccc(-c3cnc(Cl)c(NS(=O)(=O)C(C)C)c3)cc2s1","0000001000000000000000000000000000000000000000000000000000000010000000000000000000000000000000000000000000000000000000100000000100100000001000000000110000000000000000000000001000000000000000001000000000000000000000001000000000000001000000100000000000000000000000000000000000000000000000000000000001000000000100000000000000000000000000000000000000001000000000000001100000000100001000000000000000000000000000000000000000000000000000000000000010000000000000000000001000100000010000000000000000000000000000000000000010000000000000000000000000001000001000000000000010000000000100000000000000000000000100000001000000000000000000000000010000000010000001000000000000000000000100000100000000001000000000000000000000100000000000000000000000000100000010000000000000000000000000000000000001100000000000000001000000000000000000000000000100000000000000000000000000000000000001000001000000000000000000010000000100000000000000000000000000000000000000000000000000000010000000000000000000000000000000000000001000000000010000000000000000000010"
0.0127,"CC(=O)Nc1nc2ccc(-c3cnc(Cl)c(NS(=O)(=O)c4ccccc4)c3)cc2s1","0000001000000000000000000000000000000000000000000000000000000010000000000000000000000000000000000000000000000000000000100000000100100000001010000000110000000000000000000000001000000000000000001000000000000000000000001000000000000001000000100000000000000000010000000000000000000000000000000000000001000000000100000000000000000000000000000000000000001000000000000000100000000100001000000000000000000000000000000000000000000000000000000000000010000000100000000000001000100000000000000000000000000000000000000000000010000000010000000000000000000000001000000000000010000000000100000000000000000000000100000000000000000000000000000000000000100010000001000000000000000000000100000100000000001000000000000000000010100000000000000000000000000100000000000000000000000000000000000000000001100000000000000001000000000000000000000000000100000000000000000000000010000000000001000001000000000000000000010000000100000000000000000000000000000000000000000000000000000010000000010000000000000000000000000000001000000000010000000000000000010000"
0.0128,"Nc1ncc(-c2nc(N3CCOCC3)c3nc4n(c3n2)CCOC4(CO)CO)cn1","0000001001000000000000000000000000000000000000000000000000000000000000000100000000000000100000000100000000000000000000000000000000000000000000000000000000000000100000000000001000000000000000001000000000000000000000001000000000000000000000000000000000000000000000000000000010000000000110000000000000000000000000000000000000010000000000000000000000000001000000000000000100000000000000000000000000100000000000000000000000000000000000000000000000000000000000000000000000000001000000000000000000000000000010000000000010000000000000000000000000001000000000010000000010000001000000010000000000001010000100000000001000000010100000000000000000100000001011000000000000000011000100010000000000000000000000100000000000000000000000000000000000000000100000000100000000000000000000000000000000000000000000000010000001000001000000000000000000000000000000000000000000000000000000000000000000001000000000010000010000000000000000000000000001000000000000000001000100000000000000100000000000000000000000000001000000000000000000000000000000000000"
0.0129,"CC(C)n1ncnc1-c1cn2c(n1)-c1cnc(N3CCCC3CN3CCCC3)cc1OCC2","0000100000001000001000000000000000000000000100000100000000000001000000000100000000000000100000000100000000000000000100000000000000000000000000100000100000000000000000000000001000000000000000001000000000000000100000000000000000000000000000000000000000000000100000000000000000000000100000000000000000000000000000000000000000000100000000000001000000000000000100000000000100000000000000000000010000000000000000000000000000000000000000000000000000100000000000000000010010000000000000000000000000000001100000000000000010000010000000000000001000000000000000000000000100000001000000000100001000000000000100000000000000000000001000000100001100000001000001000000000000000000000100010010000010000100000000000000000000000000000000000010000000000000000110100000000000000000000010000000000000000000000000001000000000000010000000000000010000000000000000000000000000000000000000100010000000000000000000000000000000000000000000000000000000000000000000000000000100000000000000000000000000000000000010000000001000000000000000000000000000010010"
0.013,"Oc1cccc(-c2nc(N3CCOCC3)c3cnccc3n2)c1","0000000001000000000000000000000000000000000000000000000000000000000000000100000000000000100000000100000000000000000000000000000000000000000000000000100000000000000000000000001000000100000000001000000000000000000000001000000000000000000000000000000000000000000000000000000000000010000000010000000001000000000000000000000000000000000100000000000000000000000000000000000100000000000000000000000000000000000000000000000000000000000000000000000000001100000000000000010000000001000000000000000000000000000010000000000010000000000000000000000000000000000000100000000000000001000000010000000000000000000000000000001000000000100000000000000000100000001001000000000000000010000100000000000000000000001000000000000000000000000000000000000000000000000000000100000000000000000000000000000000000000000000000000000000100000000000000000000000000000000000010000010000000000010000000000000000000000000000010000010000000000000001000000000000000000000000000000000000000010000000110000000000000000100000000000000000000000000000001000000000000000"
0.013,"CCS(=O)(=O)N1CCN(Cc2cn3cc(-c4cnc(N)nc4)nc(N4CCOCC4)c3n2)CC1","0000000001000000000000000000000000000000000100000000000000000000000010000100100000000000100000000100000000000000000000000000000000000000000000000000000000000000000000000000001100000000000000001000000000000000000000000000000000000000000000010000000000000000100100000000000000000000001000000000010000010000000000000000000000000000000000000000000000000001000000000000000100000100000000000000000000000000000000000000000000000000000000000000001000000000000010000000000000000000000000000000000000000000000010000000000010000000000000000000000000000000010000000000000110000001000100010000000000000010000100000001001000000010100000000000000000000000001001000000000000100001000100000100000000000010000000100000000000000000000000000000000001000000000000001000000000010000000000000000000000000000000000001000000000000000000000000000000000000000000000000000000000000000000000000000000000001000000000010000010000000001000000000000000000000000000000000001000100000100000000000000000000000000000000000000001000000000000000000000000000000000"
0.013,"Nc1ncc(-c2cn3cc(C(=O)NC4CCOCC4)nc3c(N3CCOCC3)n2)cn1","0000100001000000010000000000000000000000000100000000000000000000000010000100000000000000100000000100000000000000000000000000000000100000000000000000000000000000000000001000001100000000000000001000000000000000000000001000000000000000000000000000000000000000000100000000000000000000000000000000010000000000000100000000000000000000000000000000000000000001000010000000000100000100010000000000000010000000000000000000010000000000000000000000000000000000000010000000000000000000000000000000000000000000000010000000000010000000000000000000000001000000000000000000000110001001000000010000000000000010000100000001001000000010100000000000000000001000001001000000000000000001000100000000000000000000000000100000000000000000000000000010000000000000000000001000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001000000000010000010100000000000000000000000010000000000000000001000000000000000000000000000000000000000000000000000000000000000000000000000000000000"
0.013,"CC(=O)NC[C@@H]1CCN(C(=O)Nc2nc(C)c(-c3ccnc(C(C)(C)C(F)(F)F)c3)s2)[C@@H]1C(N)=O","0000101000000001001000001000000000000000000000000000000000000000000000000000000000000000100000001100000000000000000000010000000000100000000000000001100000000000000000000100001000000100000100001000000000000000000000001000000000000001000010000000000100000000000000000000000000000000000000001000100001000000000100000000000000000100000000000000000000001000000000000000000000000100000000000000000000000000000100000000000000000001000000000000000000010000001000000000000000000001000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001000000000000000000000000001100000000000000000000000000000000000100000010000001000000000000000000000100000000000000000000000000000000000011100000000000000110000100000000000000000000000000000000001010000000000000100100000000000000010000000100000000000000000000100000000000000000000000000000000001000000000000001000000100010000000100000000110001000000000000000000000100000000000100000000000000000000100000000000000000000100001100000000000000000000000000000000"
0.013,"C[C@@H]1CCN(C(=O)Nc2nc3c(s2)-c2nc(C(C)(C)C)sc2CC3)[C@@H]1C(N)=O","0000100000000000000000000000000000000000000000000000000000000000000000000000000000000000100000001101000000000000000000010000000000100000000000000000000010000000000000000000000000000000000010001000000000000000000000011000000000000001000000000000000100000000000000000000000000000000000000001000000000000000000001000000000000000000000000000000000000001000000000000000000000000100000000000000000000000000000100000000000000000001000000000100000000000001001000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001000000000100001010000000000000000000000000000000000000001000000000000000010000100100011000001000000000000000000000100000000001000000000000000000000100000101000000000000110000000000000001000000000000000000000000010000000000000000100000000000000000000000100000000000000000000000000000000000000000000000000000001000000000000001000000100000000000100000000000001000000000000000000000010000000000000000000000000000000000000000000000001000100001000000000000000000000000000000000"
0.0135,"Cc1nc(N)nc2c1cc(-c1cn[nH]c1)c(=O)n2[C@H]1CC[C@H](OCC(N)=O)CC1","0100100000100000000000000000000000000000000100010000000000000000000000000000000000000000100000000100000000001000000000000000000000100000010000000000110000000000000000001000001000000000000000001000000010000000000000011000000000000000000000000000000000000000000000000000000000000001000000000000000000000000000000000000000000000100100000010000000000000001100000000000000000000100000000000000000000000000000000000000001000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000010000001000000000000000000000000000000000000000000000000000000000000000000000010000000000000000000000010000000000000000010000000000001000000000000000000000100010000000000000100001000000100000000000100000000000010000000000010000000000000000000000000000000000000000000010000000000000000000000000001010000100100000000000000000000000100000000000000000000000000000000101000000110010000000000000000100000000000000000000000000101000000000100000000000000000000000000000000000000010000001000000000000000000000000000000000"
0.0136,"Nc1nc2ccc(-c3cnc(Cl)c(NS(=O)(=O)c4ccc(Cl)cc4F)c3)cc2s1","0000000000000000000000000000000000000000000000000000000000000010000000000000000000000000000000000000000000000000000000110000000100000010001000000000110000000000000000000000001000000000000000001000000000000001000000000000000000000000001000100000000000000000010000000000000000000000000000000000000001000000000000000000000000001000000000000000000000001000000000000000100000000100001000010000000000000000000000000000000000000000000000000000000010000000000000000000001000100000000000000000000000000000000000000000000010000000110000000000000100000000001000000000000010000000000100000000000000000010000100000000000000000000000000000000000100000000000001000000000000000000000100000100000000001000000000000000000000000000000000000000000000000110000000000010000000000000000000000000000001000001000000000000000000000001000000000000000100000000000000000000000000000000001001000000000000001000000000010000000100000000000000000000000000000000000000000000000000000010000000000000100000000000000000000000000000000000010000000000000000000000"
0.0137,"CC(=O)Nc1nc2ccc(-c3cnc(Cl)c(NS(=O)(=O)c4ccc(C(C)(C)O)cc4)c3)cc2s1","0000001000000000000000000000000000000000000000000000000000000010000000000000000000000000000000000000000000000000000000100000000100100000001110000000110000000000000000000000001000000000000000001000000000000000000000001000000000000001000000100000000010000000010000000000000000000000000000000000000001000000000110000000000000000000000000000000000000001000000000000000100000000100001000100000000000000000000000000000000000000000000000000000000010000000000000000000001000100000000000000000000000000000000000000000000010000000010000000000000000000000001000000000000010000000000100000000000000000000000100000000000000000000000000000000001100000010000001000000000000000000000100000100000000001000000000000000000010100000000000000000000000000100000000000000000000000000000000000000000001100000001000000001000000000000000000000000000100000100000000000000000000000000000001000001000000000000000000010000000100000000000001000000000000000000000000000000000000000010000000000000000000000000000000000000001000000000010000000000000000010000"
0.0139,"CC(C)n1ncnc1-c1cn2c(n1)-c1cnc(N3CCCC3C3CCN(C)CC3)cc1OCC2","0000100000001000001000000000001000000000000100000000000000000000000000000100000000000000100000000100000000000000000000000000000000000000100000100000100000000000000000000000001000000000000000001000000000000000100000000000000000001000000000000000000000000000000000000000000000000000100000000000000000000000000000000000000000000100000000000001000000000000000100100000000100000000000000000000010000000000000000000000000000000000000000000000001000100000000000000000000010000000000000000000000000000000100000000000000010000010000000000000001000000000000000000000000100000001000000000100001000000000000100000000000000000000001000000000001100000000000001000000000000000000000100010010000000000100000000000000000000000000000000000010000000000000010110000000000000000000000010000000000000000000000000001000000000000010000100001000010000000000100000000000000000000000000000100010000000000000000000000000000000000010000000000000000000000000000000000000000000000000000000000000000000000000000010000000001000000000000000000000000000010010"
0.01398,"C[C@H]1CN(c2nc(-c3cnc(N)nc3)nc3c2nc2n3CCOC2(C)C)C[C@@H](C)O1","0000101000000000000000000000000000000000000000000000000000000000000000000100000000000010100000000100000000000000000000000000001000000000000000000000000000000000100000000000001000000000000000001000000000000000000000000000000000000000000000000000000000000000000000000000000010000000000010000000000000000000000000000000000000010000000000000000000000000001001000000000000100000000000000000000010000100000000000000000000000000000000000000000000000000000000000000000000000000001000000000000000000000000000000000000000010000000000000000000000000000000000000010000000010000001000000000000000001000010000100000000010000000010100000000000000000000000000001000000000000000010000100010000000000000000000000100001000000000000000000000000000000000000101000000100000000000000000000000000010000000000000000000010000000000001000000000100100000000000000000000000000000000000000000000000000000001000000000011000010000000000000000000000000001000000000000000001000000000000000000100000000000000000000000000001001000000000000000000000000000000000"
0.014,"Cc1ccc([N+](=O)[O-])cc1S(=O)(=O)N(C)N=Cc1cnc2ccc(C(F)(F)F)cn12","0000000000000000000000000000000000000000000000000000000000000000000000000000001000001000100000000000000000010000000000010000000000000000000000100010100000000001000000000000001000000000010000000000000000001000100000100000000000000000010000100000000000000010000000000000001000000000000000000000000101100000000010000000000000000100010000000000000000000000000010000100000000000100000000100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000011000000000000000000000000000000000010000000000000000000000000000000000000000000010100000000000100000000000000000000001100000000000000000000000000000000001100000000010001000000000010000000000100000100000000000000000000000000000000000000000000001000000000000000000000000000000000000000000010000000010000000000000100000000000000000000000000100000110000000000000000000000000000001000000000000000000000000000000010000000000001000000000101000000000000000000001000000000000000000000000000000000000001000000000000000000001000000010000000000000000000000000"
0.014,"Cc1nc(N)nc2c1cc(-c1cn[nH]c1)c(=O)n2[C@@H]1CC[C@H](O)C1","0000100000100000000000000000000000000000000000010000000000000000000000000000000000000000100000000100000000001000000000000000000000100000010000000000100000000000000000001000001000000000000000001000000000000000000000011000010001000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000100100000000000000000000001100000000000000000000100000000000000000000000000000000000000001000000000000000000100000000000000000000000000000000000000000000000000000000000000000000000000000010000001000000000000000000000000000000000000000000000000000000000000000000000010000000000000000000000010000000000000000010000000000001000000000000000000000100010000000000000100001000000100000000000100001000000010000000000010000000000000000000010000000000000000000000010000000000100000000000000001000000100100000000000000000000000000000000000000000000000000000000101000000010010000000000000000000000000000000000000000000101000000000000000000000000000000000000000000000000010000001000000100000000000000000000000000"
0.014,"Cc1nc(N)nc2c1cc(-c1cn[nH]c1)c(=O)n2CC1CCOC1","0000100000000000000000000000000000000000000000010000000000000000000000000100000000000000100000000100000000001100000100000000100000100000000000000000100000000000000000001000001000000000000000001000000000000000000000010000010000000000000000000000000000000000000000000000000000000000000000000000000000000000000100000000000000000100100000000000000000000001100000000000000100000100000000000000000000000000000000000000001000000000000000000000000000100000000000000000000010000000000000000000000000000000000010000000000010000001000000000000000000000000000000000000000000000000000000000000000000000010000000000100000000000010000000000000000010000000000001000000000000000000000100010000000000000000001000000100000000000100000000000010000000000010000000000000000000000000000000000000000000000000000000000000000000000001000000100000000000000001000000000001000000000000000000000000000000101000000000010000000000000000000000000000000000000000000101100000000100000000000000000000000000000000000000010000001000100000000000000000000000000010"
0.014,"COc1cc(-c2ccc3nc(NC(C)=O)cn3n2)cnc1OC","0000001000000000000000000000000000000000000100000000000000000000000000000000010000000000100100000000000000000000000000000000000000100000000000000010100000000000000010000000001000100010000000001000000000001101000000001000000000000001000000000000000000000000000000000000000000000000000000000000000001000000000000000000000001001000100000000000000000000000000000000000000000000100010000000000000000010000000000000000000000000000000000000000000000000000000000000000010000000000000000000000000000000000000000000000000110000000000000000000000000000000000000000000000110000000000000000000000000000000000100000000000000000000000000100000000000100000000001000000000000000000000100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001000100000000000000000000000000000000000000000010000000000000000000000000000000000000000000000000000000000000000010000000100000000000000000000000000000000000000000000000000001000000000100000000000000000000000000000001000000000000000000000000000001010"
0.014,"CC1(C)OCCn2c1nc1c(N3CCOCC3)nc(-c3cnc4[nH]ccc4c3)nc12","0000001001000000000000000000000000000000000000100000000000000000000000000100000000000000100000000100000000100000000000000000000000000000000000000000100000000000100000000000001000000000000000001000000000000000000000000100000000000000000000000000000000000000000000000000000010000000000010000000000001000000000000001000000000010000000000000000000000000001001000000000000100000000000000000000010000100000000000000000000000000000000000100000000000000000000000000000000000000001000000000000000000000000000010000000000010000000100000000000000000000100100000010000000010000001000000010000000001000000000100000000001000000000100000000000000000000000001001000000000000000010000100000000000000000000000000000001000000000000000000000000000000000000100000000100000000000000000000000000010000000000000000000010000000000001000000000001000000000000000000000000000000000000000000000000000000000000000000010000010100000000000000000000000001000000000001000000000000000000000000100000000000000000000000000001001000000000000000000000000010000000"
0.0144,"Cc1nc(-c2cn3c(n2)-c2ccc(-c4ccnn4C4CCCN(C(C)(C)CO)C4)cc2OCC3)n(C(C)C)n1","0000100000000000001000000000000000000000000100000000001000000100000000000100000000000000100100000100000000000000000000000000000100000000010000100000100000000000000000000000001000000100000000001000000000000000000000001000000000000000000000000000000000000000000000000000000000000010000010000000000001000000000000000000000000000100000000000000000100000000000100000000000100000000000000000000000000000000100000000000000000000000000000000000000100100000000000000010000000000000000000000000000000000000000000000000100000100010000000100000000000000000000000000000000100000001000000000100001000000000000000000010000000000000001000000000001100000000010001000000000000000000000100010000000001000100000000000000000000000000000000100010000000000000000010000000100000000000000010000000000000000000000000001000100001000100000000000000010000000000100000000000000000000000000000010010000000000000000000010000000000000000000011000000000001000000000000000000000100000000000000001000000000001000000010000000001001000000000000000000000000010010"
